COG_ID	COG_Category_ID	Annotation	Gene	Pathway
COG4820	E	"Ethanolamine utilization protein EutJ, possible chaperonin"	EutJ	
COG4821	R	"Uncharacterized conserved protein, contains SIS (Sugar ISomerase) phosphosugar binding domain"		
COG4822	H	"Cobalamin biosynthesis protein CbiK, Co2+ chelatase"	CbiK	Cobalamine/B12 biosynthesis
COG4823	V	Abortive infection bacteriophage resistance protein	AbiF	
COG4824	X	Phage-related holin (Lysis protein)		
COG4825	R	"Uncharacterized conserved protein, contains thiamine pyrophosphokinase N- and C- domains"	MT1736	
COG4826	O	Serine protease inhibitor	SERPIN	
COG4827	R	Predicted transporter		
COG4828	S	Uncharacterized membrane protein		
COG4829	Q	Muconolactone delta-isomerase	CatC1	
COG4830	J	Ribosomal protein S26e	RPS26B	Archaeal ribosomal proteins
COG4831	T	Roadblock/LC7 domain		
COG4832	VT	"Cyclopropanoid cyclopropyl hydrolase, GyrI-like domain"	MA1133	
COG4833	G	"Predicted alpha-1,6-mannanase, GH76 family"		
COG4834	S	"Uncharacterized conserved protein, DUF2184 domain"		
COG4835	S	Uncharacterized conserved protein		
COG4836	S	Uncharacterized membrane protein YwzB	YwzB	
COG4837	O	Disulfide oxidoreductase YuzD	YuzD	
COG4838	S	"Uncharacterized conserved protein YlaN, UPF0358 family"	YlaN	
COG4839	D	Cell division protein FtsL	FtsL2	
COG4840	S	"Uncharacterized conserved protein YfkK, UPF0435 family"	YfkK	
COG4841	S	"Uncharacterized conserved protein YneR, related to HesB/YadR/YfhF family"	YneR	
COG4842	V	"Secreted virulence factor YukE/EsxA, WXG100 family"	EsxA	
COG4843	S	"Uncharacterized conserved protein YebE, UPF0316/DUF2179 family"	YebE	
COG4844	S	"Uncharacterized conserved protein YuzB, UPF0349 family"	YuzB	
COG4845	V	Chloramphenicol O-acetyltransferase	CatA	
COG4846	CO	Cytochrome c biogenesis protein CcdC	CcdC	
COG4847	S	"Uncharacterized conserved protein, DUF2175 family"		
COG4848	R	"YtpQ protein involved in methylglyoxal resistance, DUF1444/UPF0354 family"	YtpQ	
COG4849	R	Predicted nucleotidyltransferase		
COG4850	I	Phosphatidate phosphatase APP1	App1	
COG4851	R	Uncharacterized conserved protein involved in sex pheromone biosynthesis	CamS	
COG4852	S	Uncharacterized membrane protein		
COG4853	T	"YycI protein, regulator of the WalKR two-component signal transduction system"	YycI	
COG4854	S	"Uncharacterized membrane protein AF1626, predicted component of bacteriocin or quorum sensing system, DUF2178 family"		
COG4855	F	Uncharacterized conserved protein		
COG4856	T	"Cyclic di-AMP synthase regulator CdaR, YbbR domain"	YbbR	
COG4857	E	"5-Methylthioribose/5-deoxyribose kinase, methionine salvage pathway"	MthN	
COG4858	S	Uncharacterized membrane-anchored protein		
COG4859	S	"Uncharacterized protein, contains DUF2185 domain"		
COG4860	K	"Predicted DNA-binding transcriptional regulator, ArsR family"		
COG4861	S	Uncharacterized conserved protein		
COG4862	KTN	"Negative regulator MecA of genetic competence, sporulation and motility"	MecA	
COG4863	T	"YycH protein, regulator of the WalKR two-component signal transduction system"	YycH	
COG4864	S	"Uncharacterized conserved protein YqfA, UPF0365 family"	YqfA	
COG4865	E	Glutamate mutase epsilon subunit	GlmE	
COG4866	S	"Uncharacterized protein, contains DUF2156 domain"		
COG4867	S	"Uncharacterized conserved protein, contains von Willebrand factor type A (vWFA) domain"		
COG4868	S	"Uncharacterized conserved protein, UPF0371 family"		
COG4869	Q	Propanediol utilization protein	PduL	
COG4870	O	"Cysteine protease, C1A family"		
COG4871	K	"Metal-binding trascriptional regulator, contains Fe-S cluster and ArsR family DNA binding domain"		
COG4872	S	Uncharacterized membrane protein		
COG4873	S	"Uncharacterized conserved protein YkvS, DUF2187 family"	YkvS	
COG4874	S	Uncharacterized conserved protein		
COG4875	O	"Protein kinase association domain CaMKII_AD, NTF2-like superfamily"	CaMKIID	
COG4876	S	Uncharacterized conserved protein YdaT	YdaT	
COG4877	S	Uncharacterized conserved protein		
COG4878	S	"Uncharacterized conserved protein, DUF2194 domain"		
COG4879	S	"Uncharacterized protein, contains DUF2192 domain"		
COG4880	R	Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats		
COG4881	P	"Predicted membrane anchor for polysulfide/nitrite-type reductase, PsrC/NrfD syperfamily"		
COG4882	R	"Predicted aminopeptidase, Iap family"		
COG4883	S	"Uncharacterized conserved protein, DUF2193 domain"		
COG4884	S	"Uncharacterized conserved protein YfeS, contains WGR domain"	YfeS	
COG4885	S	Uncharacterized conserved protein		
COG4886	K	Leucine-rich repeat (LRR) protein	LRR	
COG4887	S	"Uncharacterized metal-binding protein MJ0455, DUF1847 family"		
COG4888	K	"Transcription elongation factor Elf1, contains Zn-ribbon domain"	Elf1	
COG4889	R	Predicted helicase		
COG4890	S	Predicted outer membrane lipoprotein		
COG4891	S	Uncharacterized conserved protein		
COG4892	R	Predicted heme/steroid binding protein		
COG4893	S	"Uncharacterized conserved protein, DUF2195 domain"		
COG4894	I	"Putative phospholipid scramblase YxjI, Tubby2 superfamily"	YxjI	
COG4895	S	"Uncharacterized conserved protein YwbE, DUF2196 family"	YwbE	
COG4896	S	"Uncharacterized conserved protein YlaI, DUF2197 family"	YlaI	
COG4897	S	General stress protein CsbA (function unknown)	CsbA	
COG4898	S	Uncharacterized conserved protein		
COG4899	S	"Uncharacterized conserved protein, DUF2199 domain"		
COG4900	R	Predicted metallopeptidase		
COG4901	J	Ribosomal protein S25e	RPS25	Archaeal ribosomal proteins
COG4902	R	"Ferritin-like protein MJ0754, DUF2202 family"	MJ0754	
COG4903	K	Competence transcription factor ComK	ComK	
COG4904	S	Uncharacterized conserved protein		
COG4905	S	Uncharacterized membrane protein		
COG4906	S	Uncharacterized membrane protein		
COG4907	S	Uncharacterized membrane protein		
COG4908	R	"Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain"		
COG4909	Q	"Propanediol dehydratase, large subunit"	PduC	
COG4910	Q	"Propanediol dehydratase, small subunit"	PduE	
COG4911	S	"Uncharacterized conserved protein, DUF2203 domain"		
COG4912	L	3-methyladenine DNA glycosylase AlkD	AlkD	
COG4913	S	"Uncharacterized conserved protein, contains a C-terminal ATPase domain"		
COG4914	R	Predicted nucleotidyltransferase		
COG4915	QR	5-bromo-4-chloroindolyl phosphatase XpaC	XpaC	
COG4916	S	Uncharacterized conserved protein		
COG4917	E	"Ethanolamine utilization protein EutP, contains a P-loop NTPase domain"	EutP	
COG4918	R	Predicted Fe-S cluster biosynthesis protein YqkB	YqkB	
COG4919	J	Ribosomal protein S30	RPS30	Archaeal ribosomal proteins
COG4920	S	Uncharacterized membrane protein		
COG4921	S	"Uncharacterized conserved protein, DUF2209 domain"		
COG4922	R	Predicted SnoaL-like aldol condensation-catalyzing enzyme		
COG4923	R	Predicted nuclease (RNAse H fold)		
COG4924	S	Uncharacterized conserved protein		
COG4925	S	Uncharacterized conserved protein		
COG4926	X	Phage-related protein	PblB	
COG4927	R	Predicted choloylglycine hydrolase		
COG4928	R	"Predicted P-loop ATPase, KAP-like"		
COG4929	S	Uncharacterized membrane-anchored protein		
COG4930	O	Predicted ATP-dependent Lon-type protease		
COG4932	M	"Clumping factor A-related surface protein, MSCRAMM (microbial surface components recognizing adhesive matrix molecules) family, DEv-IgG fold"	ClfA	
COG4933	K	"Predicted transcriptional regulator, contains an HTH and PUA-like domains"		
COG4934	O	"Serine protease, subtilase family"		
COG4935	O	Regulatory P domain of the subtilisin-like proprotein convertases and other proteases		
COG4936	T	Ligand-binding sensor domain	PocR	
COG4937	J	Ferredoxin-fold anticodon binding domain	FDXACB	
COG4938	R	Predicted ATPase		
COG4939	S	"Membrane-anchored lipoprotein Tpp15, major membrane immunogen"	Tpp15	
COG4940	X	Competence protein ComGF	ComGF	
COG4941	K	"Predicted RNA polymerase sigma factor, contains C-terminal TPR domain"		
COG4942	D	"Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB"	EnvC	
COG4943	T	"Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains"	YjcC	
COG4944	S	Uncharacterized conserved protein		
COG4945	GT	Carbohydrate-binding DOMON domain	DOMON	
COG4946	S	"Uncharacterized N-terminal domain of tricorn protease, contains WD40 repeats"		
COG4947	R	Esterase/lipase superfamily enzyme		
COG4948	MR	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	RspA	Non-phosphorylated Entner-Doudoroff pathway
COG4949	S	Uncharacterized membrane-anchored protein		
COG4950	S	N-terminal domain of uncharacterized protein YciW (function unknown)	YciW1	
COG4951	S	Uncharacterized conserved protein		
COG4952	M	L-rhamnose isomerase		
COG4953	M	Membrane carboxypeptidase/penicillin-binding protein PbpC	PbpC	
COG4954	S	"Uncharacterized conserved protein, DUF2000 domain"		
COG4955	S	"Uncharacterized conserved protein YpbB, contains C-terminal HTH domain"	YpbB	
COG4956	R	"Uncharacterized conserved protein YacL, contains PIN and TRAM domains"		
COG4957	K	Predicted transcriptional regulator		
COG4959	OU	"Type IV secretory pathway, protease TraF"	TraF	
COG4960	OT	"Flp pilus assembly protein, peptidase CpaA"	CpaA	
COG4961	UW	"Flp pilus assembly protein TadG, includes N-terminal TadE domain"	TadG	
COG4962	UW	"Pilus assembly protein, ATPase of CpaF family"	CpaF	
COG4963	UW	"Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain"	CpaE	
COG4964	UW	"Flp pilus assembly protein, secretin CpaC"	CpaC	
COG4965	UW	Flp pilus assembly protein TadB	TadB	
COG4966	NW	Type IV pilus assembly protein PilW	PilW	
COG4967	NW	Type IV pilus assembly protein PilV	PilV	
COG4968	NW	Type IV pilus assembly protein PilE	PilE	
COG4969	NW	"Type IV pilus assembly protein, major pilin PilA"	PilA	
COG4970	NW	Type IV pilus assembly protein FimT	FimT	
COG4972	NW	"Type IV pilus assembly protein, ATPase PilM"	PilM	
COG4973	L	Site-specific recombinase XerC	XerC	
COG4974	L	Site-specific recombinase XerD	XerD	
COG4975	G	Glucose uptake protein GlcU	GlcU	
COG4976	R	"Predicted methyltransferase, contains TPR repeat"		
COG4977	K	"Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain"	GlxA	
COG4978	T	GyrI-like small molecule binding domain	BltR2	
COG4980	R	Gas vesicle protein YhaH	GvpP	
COG4981	I	Enoyl reductase domain of yeast-type fatty acid synthase		
COG4982	I	3-oxoacyl-ACP reductase domain of yeast-type fatty acid synthase FAS1	FabG2	
COG4983	X	Primase-polymerase (Primpol) domain protein		
COG4984	S	Uncharacterized membrane protein		
COG4985	P	"ABC-type phosphate transport system, auxiliary component PstA"	PstA	
COG4986	P	"ABC-type anion transport system, duplicated permease component"		
COG4987	CO	"ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components"	CydC	
COG4988	CO	"ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components"	CydD	
COG4989	R	Predicted oxidoreductase YdhF	YdhF	
COG4990	R	"Predicted cysteine peptidase, C39 family"	YvpB	
COG4991	S	Uncharacterized conserved protein YraI	YraI	
COG4992	E	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase	ArgD	Arginine biosynthesis
COG4993	G	"Glucose dehydrogenase, PQQ-dependent"	Gcd	
COG4994	S	"Uncharacterized protein CV0675, UCP033623 family"		
COG4995	S	"Uncharacterized conserved protein, contains CHAT domain"		
COG4996	R	Predicted phosphatase		
COG4997	R	"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily"		
COG4998	L	"Predicted endonuclease, RecB family"	RecB2	
COG4999	T	Uncharacterized domain of signal transduction histidine kinase BarA	BarA5	
COG5000	T	Signal transduction histidine kinase NtrY involved in nitrogen fixation and metabolism regulation	NtrY	
COG5001	T	"Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain"		
COG5002	T	Sensor histidine kinase WalK	WalK	
COG5003	X	Mu-like prophage protein gp37	gp37	
COG5004	X	P2-like prophage tail protein X	gpX	
COG5005	X	Mu-like prophage protein gpG	gpG	
COG5006	E	Threonine/homoserine efflux transporter RhtA	RhtA	
COG5007	T	"Acid stress protein IbaG/YrbA, BolA-like family"	IbaG	
COG5008	NW	"Type IV pilus assembly protein, ATPase PilU"	PilU	
COG5009	M	Membrane carboxypeptidase/penicillin-binding protein	MrcA	
COG5010	UW	"Flp pilus assembly protein TadD, contains TPR repeats"	TadD	
COG5011	S	"Uncharacterized conserved protein, DUF2344 family"		
COG5012	C	Methanogenic corrinoid protein MtbC1	MtbC1	
COG5013	CP	Nitrate reductase alpha subunit	NarG	
COG5014	R	"Uncharacterized conserved protein TM0948, MoaA-related, radical SAM superfamily"	TM0948	
COG5015	R	Pyridoxamine 5'-phosphate oxidase (PNPOx-like) family protein		
COG5016	C	Pyruvate/oxaloacetate carboxyltransferase	OadA1	Urea cycle
COG5017	G	UDP-N-acetylglucosamine transferase subunit ALG13		
COG5018	T	"3'-5' exonuclease KapD, inhibitor of KinA-controlled sporulation"	KapD	
COG5023	Z	Tubulin		
COG5026	G	Hexokinase		Glycolysis
COG5029	OI	"Prenyltransferase, beta subunit"	CAL1	
COG5031	H	Ubiquinone biosynthesis protein Coq4	COQ4	Ubiquinone biosynthesis
COG5036	PU	SPX domain-containing protein involved in vacuolar polyphosphate accumulation		
COG5039	GM	"Exopolysaccharide biosynthesis protein EpsI, predicted pyruvyl transferase"	EpsI	
COG5042	F	Purine nucleoside permease	NUP	
COG5050	I	"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferases"	EPT1	
COG5055	L	Recombinational DNA repair protein (RAD52 pathway)	RAD52	
COG5078	O	Ubiquitin-protein ligase		
COG5083	I	"Phosphatidate phosphatase PAH1, contains Lipin and LNS2 domains. can be involved in plasmid maintenance"	SMP2	
COG5108	K	Mitochondrial DNA-directed RNA polymerase	RPO41	
COG5119	R	"Uncharacterized conserved protein, contains ParB-like nuclease domain"		
COG5126	T	"Ca2+-binding protein, EF-hand superfamily"	FRQ1	
COG5131	O	Ubiquitin-like protein	URM1	
COG5135	S	Uncharacterized conserved protein		
COG5146	H	Pantothenate kinase	PanK	Pantothenate/CoA biosynthesis
COG5148	S	vWFA (von Willebrand factor type A) domain-containing protein		
COG5153	U	Putative lipase ATG15 (essential for vacuolar disintegration of autophagic bodies)	CVT17	
COG5160	O	"Protease, Ulp1 family"	ULP1	
COG5164	K	Transcription elongation factor SPT5	SPT5	
COG5180	A	"PAB1-binding protein, interacts with poly(A)-binding protein"	PBP1	
COG5184	DZ	Alpha-tubulin suppressor ATS1 and related RCC1 domain-containing proteins	ATS1	
COG5185	D	"Chromosome segregation protein NDC80, interacts with SMC proteins"	HEC1	
COG5186	A	Poly(A) polymerase Pap1	PAP1	
COG5190	K	"TFIIF-interacting CTD phosphatase, includes NLI-interacting factor"	FCP1	
COG5206	O	"Glycosylphosphatidylinositol transamidase (GPIT), subunit GPI8"	GPI8	
COG5207	R	"Uncharacterized Zn-finger protein, UBP-type"	UBP14	
COG5212	T	cAMP phosphodiesterase	PDE1	
COG5238	J	Ran GTPase-activating protein (RanGAP) involved in mRNA processing and transport	RNA1	
COG5255	S	Uncharacterized conserved protein		
COG5256	J	Translation elongation factor EF-1alpha (GTPase)	TEF1	Translation factors
COG5257	J	"Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)"	GCD11	Translation factors
COG5258	R	GTPase	GTPBP1	
COG5263	G	Glucan-binding domain (YG repeat)		
COG5265	O	"ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components"	ATM1	
COG5266	R	"Uncharacterized protein, contains GH25 family domain"		
COG5267	S	"Uncharacterized conserved protein, DUF1800 family"		
COG5268	U	"Type IV secretory pathway, TrbD component"	TrbD	
COG5270	J	PUA domain (predicted RNA-binding domain)	PUA	
COG5271	J	"Midasin, AAA ATPase with  vWA domain, involved in ribosome maturation"	MDN1	
COG5272	O	Ubiquitin	UBI4	
COG5274	CI	Cytochrome b involved in lipid metabolism	CYB5	
COG5275	R	BRCT domain type II		
COG5276	S	"Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain"		
COG5277	Z	Actin-related protein		
COG5278	T	Extracytoplasmic sensor domain CHASE3 (specificity unknown)	CHASE3	
COG5279	D	"Cytokinesis protein 3, contains TGc (transglutaminase/protease-like) domain"	CYK3	
COG5280	X	Phage-related minor tail protein	YqbO	
COG5281	X	Phage-related minor tail protein		
COG5282	O	"Zn-dependent metallopeptidase, zincin/DUF2342 superfamily"	Zincin	
COG5283	X	Phage-related tail protein		
COG5285	Q	"Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family"	PhyH	
COG5293	S	"Uncharacterized conserved protein YydD, contains DUF2326 domain"	YydB	
COG5294	S	"Uncharacterized conserved protein YxeA, DUF1093 family"	YxeA	
COG5295	UW	Autotransporter adhesin	Hia	
COG5297	G	Cellulase/cellobiase CelA1	CelA1	
COG5298	R	"Predicted metal-dependent carbohydrate esterase YdaL, contains NodB-like catalytic (CE4) domain"	YdaL	
COG5301	X	Phage-related tail fiber protein		
COG5302	X	Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid		
COG5304	K	"Predicted DNA binding protein, CopG/RHH family"		
COG5305	R	"Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family"		
COG5306	R	"Uncharacterized conserved protein MJ1470, contains DUF2341 domain, predicted component of type IV pili-like system"	MJ1470	
COG5307	R	"Guanine-nucleotide exchange factor YEL1, contains Sec7 domain"		
COG5309	G	"Exo-beta-1,3-glucanase,  GH17 family"	Scw11	
COG5310	Q	Homospermidine synthase		
COG5314	X	Conjugal transfer/entry exclusion protein		
COG5316	S	"Uncharacterized protein, contains DUF4139 domain"		
COG5317	S	"Uncharacterized conserved protein, DUF1465 domain"		
COG5319	S	"Uncharacterized conserved protein, DUF1178 domain"		
COG5321	S	Uncharacterized conserved protein		
COG5322	R	Predicted amino acid dehydrogenase		
COG5323	X	Phage large terminase packaging protein		
COG5324	J	tRNA splicing ligase	Trl1	tRNA modification
COG5328	S	"Uncharacterized conserved protein, UPF0262 family"		
COG5330	S	"Uncharacterized conserved protein, DUF2336 family"		
COG5331	S	Uncharacterized conserved protein		
COG5336	C	"FoF1-type ATP synthase AtpZ/Atp1/AtpQ subunit, putative Ca2+/Mg2+ transporter"	AtpZ	FoF1-type ATP synthase
COG5337	M	Spore coat protein CotH	CotH	
COG5338	S	Uncharacterized conserved protein		
COG5339	S	"Uncharacterized conserved protein YdgA, DUF945 family"	YdgA	
COG5340	V	"Abortive phage infection protein AbiEi, antitoxin conponent of an AbiEi-AbiEii TA system"	AbiEi	
COG5341	S	Uncharacterized conserved protein		
COG5342	R	"Invasion protein IalB, involved in pathogenesis"	IalB	
COG5343	T	Anti-sigma-K factor RskA	RskA	
COG5345	S	"Uncharacterized conserved protein, DUF2333 domain"		
COG5346	S	Uncharacterized membrane protein		
COG5349	S	"Uncharacterized conserved protein, DUF983 family"		
COG5350	R	Predicted protein tyrosine phosphatase		
COG5351	S	"Uncharacterized conserved protein, DUF2169 domain"		
COG5352	S	Uncharacterized conserved protein		
COG5353	S	"Uncharacterized conserved protein YpmB, contains C-terminal PepSY domain"	YpmB	
COG5360	R	"Uncharacterized conserved protein, heparinase superfamily"		
COG5361	X	Uncharacterized conserved protein		
COG5362	X	Phage terminase large subunit		
COG5368	G	"Endo-beta-1,2-glucanase, glucoamylase superfamily"		
COG5371	F	"Nucleoside diphosphatase, GDA1/CD39 family"	GDA1	
COG5373	S	Uncharacterized membrane protein		
COG5375	S	Uncharacterized conserved protein		
COG5377	X	"Phage-related protein, predicted endonuclease"		
COG5378	R	"Predicted nucleic acid-binding protein, contains PIN domain"		
COG5379	I	S-adenosylmethionine:diacylglycerol 3-amino-3-carboxypropyl transferase	BtaA	
COG5380	O	Lipase chaperone LimK	LimK	
COG5381	S	Uncharacterized conserved protein		
COG5383	R	"Uncharacterized metalloenzyme YdcJ, glyoxalase superfamily"	YdcJ	
COG5385	T	"Histidine phosphotransfer protein ChpT, HPt domain"	HPt	
COG5386	P	Heme-binding NEAT domain	NEAT	
COG5387	O	Mitochondrial FoF1-type ATP synthase assembly chaperone ATP12	Atp12	
COG5388	S	Uncharacterized conserved protein		
COG5389	S	"Uncharacterized conserved protein, DUF721 domain"		
COG5393	S	Uncharacterized membrane protein YqjE	YqjE	
COG5394	QT	"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA"		
COG5395	S	Uncharacterized membrane protein		
COG5397	S	Uncharacterized conserved protein		
COG5398	H	Heme oxygenase		
COG5399	S	"Uncharacterized conserved protein, DUF2286 domain"		
COG5400	S	Uncharacterized conserved protein		
COG5401	D	Spore germination protein GerM	GerM	
COG5402	S	"Uncharacterized protein, contains DUF1214 domain"		
COG5403	S	"Uncharacterized conserved protein, DUF937 domain"		
COG5404	D	"Cell division inhibitor SulA, prevents FtsZ ring assembly"	SulA	
COG5405	O	"ATP-dependent protease HslVU (ClpYQ), peptidase subunit"	HslV	
COG5407	U	Preprotein translocase subunit Sec63	SEC63	
COG5410	S	Uncharacterized conserved protein		
COG5412	X	Phage-related protein		
COG5413	S	Uncharacterized integral membrane protein		
COG5416	S	Uncharacterized integral membrane protein YrvD	YrvD	
COG5417	U	ESX protein secretion system component YukD	YukD	
COG5418	S	Predicted secreted protein		
COG5419	S	"Uncharacterized conserved protein, DUF2285 domain"		
COG5420	S	"Uncharacterized protein, UPF0437 family"		
COG5421	X	Transposase		
COG5423	S	Predicted metal-binding protein		
COG5424	H	Pyrroloquinoline quinone (PQQ) biosynthesis protein C	PqqC	
COG5425	S	"Usg protein (tryptophan operon, function unknown)"	Usg	
COG5426	R	"Uncharacterized protein STM3548, contains class I glutamine amidotransferase domain"		
COG5427	S	"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family"		
COG5428	V	"Predicted antitoxin component YuzE of a toxin-antitoxin system, DUF2283 family"	YuzE	
COG5429	S	"Uncharacterized conserved protein, DUF1223 domain"		
COG5430	W	"Fimbrial subunit ScuA/B, ScuA/B/SCPU domain"	SCPU	
COG5431	R	"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain"		
COG5433	X	Predicted transposase YbfD/YdcC associated with H repeats	YhhI	
COG5434	G	Polygalacturonase	Pgu1	
COG5435	S	Uncharacterized conserved protein		
COG5436	S	Uncharacterized membrane protein		
COG5437	X	"Phage tail protein, TP901-1 family"	LmaA	
COG5438	S	Uncharacterized membrane protein		
COG5439	R	STAS domain	STAS	
COG5440	T	"Global stress regulator YbjN, DUF2299 family"	YbjN	
COG5441	V	"ATP-binding helicase-inhibiting domain, Tm-1/UPF0261 family"	Tm-1N	
COG5442	N	Flagellar biosynthesis regulator FlaF	FlaF	
COG5443	N	Flagellar biosynthesis regulator FlbT	FlbT	
COG5444	V	"Predicted ribonuclease, toxin component of the YeeF-YezG toxin-antitoxin module"	YeeF	
COG5445	S	"Uncharacterized conserved protein YfaQ, DUF2300 domain"	YfaQ	
COG5446	P	Putative cobalt transporter membrane subunit CbtA	CbtA	
COG5447	S	"Uncharacterized conserved protein, DUF1491 domain"		
COG5448	S	"Uncharacterized conserved protein, DUF2460 domain"		
COG5449	S	"Uncharacterized conserved protein, DUF2163 domain"		
COG5450	K	Transcription regulator of the Arc/MetJ class	VapB6	
COG5451	S	Predicted secreted protein		
COG5452	S	Uncharacterized conserved protein		
COG5453	S	Uncharacterized conserved protein		
COG5454	S	Predicted secreted protein		
COG5455	P	Periplasmic regulator RcnB of Ni and Co efflux	RcnB	
COG5456	P	Nitrogen fixation protein FixH	FixH	
COG5457	S	"Uncharacterized conserved protein YjiS, DUF1127 family"	YjiS	
COG5458	S	"Uncharacterized conserved protein, DUF1489 domain"		
COG5459	J	Ribosomal protein RSM22 (predicted mitochondrial rRNA methylase)	Rsm22	Archaeal ribosomal proteins
COG5460	S	"Uncharacterized conserved protein, DUF2164 family"		
COG5461	W	Type IV pilus biogenesis protein CpaD/CtpE	CpaD	
COG5462	S	Predicted secreted (periplasmic) protein		
COG5463	S	"Uncharacterized conserved protein YgiB, UPF0441/DUF1190 family, involved in bioifilm formation"	YgiB	
COG5464	L	Recombination-promoting DNA endonuclease RpnC/YadD	RpnC	
COG5465	R	"Uncharacterized conserved protein YbjN, helps stabilize unstable proteins"	YbjN	
COG5466	S	Predicted small metal-binding protein		
COG5467	S	"Uncharacterized conserved protein, DUF1476 domain"		
COG5468	S	Predicted lipoprotein involved in lipopolysaccharide assembly		
COG5469	S	Predicted metal-binding protein		
COG5470	S	"Uncharacterized conserved protein, DUF1330 family"		
COG5471	X	"Predicted phage recombinase, RecA/RadA family"		
COG5472	S	Predicted small integral membrane protein		
COG5473	S	Uncharacterized membrane protein		
COG5474	C	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific assembly factor CRR6	CRR6	
COG5475	S	"Uncharacterized conserved protein YodC, DUF2158 family"	YodC	
COG5476	R	"Microcystin degradation protein MlrC, contains DUF1485 domain"		
COG5477	S	Predicted small integral membrane protein		
COG5478	P	Low affinity Fe/Cu permease	Fet4	
COG5479	M	"LGFP repeat-containing protein, may be involved in cell wall binding"	Psp3	
COG5480	S	Uncharacterized membrane protein		
COG5481	S	"Uncharacterized conserved protein, DUF465 domain"		
COG5482	S	"Uncharacterized conserved protein, DUF2161 domain"		
COG5483	S	"Uncharacterized conserved protein, DUF488 family"		
COG5484	S	"Uncharacterized conserved protein YjcR, contains N-terminal HTH domain"	YjcR	
COG5485	R	Predicted ester cyclase		
COG5486	S	Predicted metal-binding membrane protein		
COG5487	S	"Uncharacterized membrane protein YtjA, UPF0391 family"	YtjA	
COG5488	S	Uncharacterized membrane protein		
COG5489	S	"Uncharacterized conserved protein, DUF736 family"		
COG5490	S	"Predicted polyhydroxyalkanoate (PHA)-binding protein, phasin family"	Phasin	
COG5491	D	"Archaeal cell division protein CdvB, Snf7/Vps24/ESCRT-III family"	Did4	
COG5492	R	"Uncharacterized conserved protein YjdB, contains Ig-like domain"	YjdB	
COG5493	R	"Uncharacterized protein, contains PD-(D/E)XK nuclease domain"		
COG5494	O	Predicted thioredoxin/glutaredoxin		
COG5495	R	"Predicted oxidoreductase, contains short-chain dehydrogenase (SDR) and DUF2520 domains"		
COG5496	R	Predicted thioesterase		
COG5497	S	Predicted secreted protein		
COG5498	G	Endoglucanase Acf2	Acf2	
COG5499	V	"Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain"	HigA	
COG5500	S	Uncharacterized membrane protein		
COG5501	S	Sulfur oxidation protein SoxY	SoxY	
COG5502	S	"Uncharacterized conserved protein, DUF2267 family"		
COG5503	KV	DNA-dependent RNA polymerase auxiliary subunit epsilon	RpoEps	RNA polymerase
COG5504	R	"Predicted Zn-dependent protease YjaZ, DUF2268 family"	YjaZ	
COG5505	S	Uncharacterized membrane protein YjcL		
COG5506	S	"Uncharacterized conserved protein YueI, DUF2278 family"	YueI	
COG5507	S	"Uncharacterized conserved protein YbaA, DUF1428 family"	YbaA	
COG5508	S	"Uncharacterized conserved protein, DUF1674 domain"		
COG5509	S	"Uncharacterized small protein, DUF1192 family"		
COG5510	S	Predicted small secreted protein		
COG5511	X	Phage capsid protein		
COG5512	R	"Predicted  nucleic acid-binding protein, contains Zn-ribbon domain (includes truncated derivatives)"		
COG5513	O	"Chagasin-like inhibitor of cysteine peptidase, I42 family"	ICP	
COG5514	S	"Uncharacterized conserved protein, DUF1794 domain"		
COG5515	S	"Uncharacterized conserved protein, DUF1737 domain"		
COG5516	R	"Uncharacterized conserved protein containing a Zn-ribbon-like motif, possibly RNA-binding"		
